"Location H-ID","Primary place name","Alternative Name","Locality name","Location Country","Short description","Location (mappable)","Locational certainty",Geometry,"Administrative area"
3063,"Shivala Road",,,India,,"POINT(82.114879 26.737433)","1. High confidence",,
3064,"Saidpur Village",Sayedpur,,Pakistan,,"POINT(73.067837 33.742666)","1. High confidence",,
3065,"Amirpur Village",,,India,,"POINT(77.792387 27.433908)","1. High confidence",,
3066,Baradari,"Safed Baradari",,India,,"POINT(80.931956 26.852369)","1. High confidence",,
3067,"Government House","Raj Bhavan",,India,"The current Raj Bhavan was then called the Government House.","POINT(80.946268 26.840887)","1. High confidence",,
3068,Residency,,,India,,"POINT(80.926784 26.860658)","1. High confidence",,
3069,"Gajju Matah","Gujjo Matah",,Pakistan,"a neighbourhood in Nishtar Tehsil of Lahore, Pakistan","POINT(74.366069 31.386248)","1. High confidence",,
3070,Gujranwala,,,Pakistan,,"POINT(74.19445 32.187526)","1. High confidence",,
3071,Jullunder,Jalandhar,,India,,"POINT(75.575981 31.32578)","1. High confidence",,
3075,Hostel,"Lucknow University",,India,,"POINT(80.936027 26.863314)","1. High confidence",,
3108,Delhi,,,India,"Generic location for Delhi. Any place that is in or near Delhi but not precisely mappable can go here.","POINT(77.224701 28.650825)","1. High confidence",,
3109,"Chatto Village: Neighborhood Market",,,Pakistan,,"POINT(73.483271 32.576111)","3. Conjectural",,
3110,"Chatto Village: Field",,,Pakistan,,"POINT(73.48647 32.576798)","3. Conjectural",,
3111,"Chatto Village: Well",,,Pakistan,"The well where Pooro goes. This location has no connection to reality.","POINT(73.48151 32.574085)","3. Conjectural",,
3112,"Chatto Village: Pooro's Home",,,Pakistan,"The place where Pooro lives. This location has no connection to reality.","POINT(73.48151 32.574085)","3. Conjectural",,
3114,"Sakar Village: Rashid's Home",sukkur,,Pakistan,"Paroo is abducted to this village","POINT(73.548589 32.544534)","3. Conjectural",Point,"10 Village/Civic Ward"
3115,"Sakar Village: Rahima's Home",sukkur,,Pakistan,"Paroo is abducted to this village","POINT(73.544458 32.542291)","3. Conjectural",Point,"10 Village/Civic Ward"
3116,"Sakar Village: Well",sukkur,,Pakistan,"Paroo is abducted to this village","POINT(73.544458 32.542291)","3. Conjectural",Point,"10 Village/Civic Ward"
3117,"Sakkar: Neighbouring Village",,,Pakistan,,"POINT(73.554604 32.583235)","3. Conjectural",,
3118,"Chatto Village: Refugee Camp",,,Pakistan,,"POINT(73.477822 32.53719)","3. Conjectural",,
3119,"Kapoor Haveli",Kapoora,,Pakistan,,"POINT(71.571567 34.009132)","1. High confidence",,
3157,Ludhiana,,,India,,"POINT(75.857276 30.900965)","1. High confidence",Point,"7 Metropolitan Area"
3175,"Rawalpindi Train Station",,,Pakistan,,"POINT(73.048124 33.603812)","1. High confidence",Point,"7 Metropolitan Area"
3363,"Mughalpura, Lahore",,,Pakistan,,,"1. High confidence",,
3420,Sharifpura,,,India,"Shariffpura is a locality in Amritsar, India. It was established by a Muslim by the name of Deputy Mohammad Shariff, known as the ""Raees of Amritsar"" and his son Engineer Fazal ur Rehman Shariff in the early 1920s.","POINT(74.887992 31.631936)","1. High confidence",,
3445,Kashmir,,,India,,"POINT(75.341218 33.277839)","1. High confidence",,
3448,Punjab,,,India,,"POINT(75.341218 31.147131)","1. High confidence",,
3449,"Jallianwala Bagh",,,India,,"POINT(74.880109 31.620644)","1. High confidence",,
3451,Bombay,Mumbai,,India,,"POINT(72.877656 19.075984)","1. High confidence",,
3453,"Soviet Union",,,"Russian Federation",,"POINT(105.318756 61.52401)","1. High confidence",,
3470,Titwal,,,India,"Titwal is a small border-village near the LoC in Kupwara district of the Indian union territory of Jammu and Kashmir. The village is 82 km from the district headquarters, Kupwara. Teetwal is connected to the rest of India via Tangdhar.","POINT(73.772791 34.391564)","1. High confidence",Point,"10 Village/Civic Ward"
3536,Jullandar,,,India,"Jalandhar is an ancient city in the north Indian state of Punjab. It’s home to Devi Talab Mandir, a centuries-old Hindu temple dedicated to the goddess Durga, with a tank considered sacred by devotees. The whitewashed Gurdwara Chhevin Patshahi is a place of worship for Sikhs. To the southeast lies St. Mary’s Cathedral, a modern building with Punjabi architectural elements, 2 domed towers and a pond","POINT(75.576183 31.326015)","1. High confidence",Point,"8 Municipal Corporation / Municipality / City Council"
3541,Saharanpur,,,India,"Saharanpur is a city and a municipal corporation in Uttar Pradesh, India. It is also the administrative headquarters of Saharanpur district. Saharanpur city's name was given after the Saint Shah Haroon Chishti. A very famous temple of ""Shakumbhri Devi"" is situated in Saharanpur","POINT(77.555207 29.968004)","1. High confidence",Point,"8 Municipal Corporation / Municipality / City Council"
3542,Patiala,,,India,"Patiala is a city in southeastern Punjab, northwestern India. It is the fourth largest city in the state and is the administrative capital of Patiala district","POINT(76.38688 30.339781)","1. High confidence",Point,"8 Municipal Corporation / Municipality / City Council"
3543,Amritsar,,,India,"Amritsar is a city in the northwestern Indian state of Punjab, 28 kilometers from the border with Pakistan. At the center of its walled old town, the gilded Golden Temple (Harmandir Sahib) is the holiest gurdwara (religious complex) of the Sikh religion. It’s at the end of a causeway, surrounded by the sacred Amrit Sarovar tank (lake), where pilgrims bathe.","POINT(74.872264 31.633979)","1. High confidence",Point,"8 Municipal Corporation / Municipality / City Council"
3560,"Amritsar in The Price of Freedom",,,India,,"POINT(74.872264 31.633979)","1. High confidence",,
3617,"Wagah Border",Wagha,,India,"The international border between India and Pakistan.","POINT(74.573044 31.604616)","1. High confidence",Area,"3 Division"
3621,"Pakistan High Commission in Delhi",,,India,,"POINT(77.19034 28.594099)","2. Probable location",Point,
3721,"Advani Chambers",,,India,,"POINT(72.805385 18.9645)","1. High confidence",Area,"9 Civic Zone"
3732,Deolali,,,India,,"POINT(74.621012 19.472801)","2. Probable location",,
3737,Myanmar,Burma,,Myanmar,,"POINT(95.955974 21.916221)","1. High confidence",Area,
3739,Singapore,,,Singapore,,"POINT(103.819836 1.352083)","1. High confidence",Area,
3741,"Hong Kong",,,"Hong Kong",,"POINT(114.169361 22.319304)","1. High confidence",Area,
3746,"Juhu Beach",,,India,,"POINT(72.826448 19.097419)","1. High confidence",Area,
3751,Pune,Poona,,India,,"POINT(73.856744 18.52043)","1. High confidence",Area,
3821,"Civil Lines",,,India,,,"1. High confidence",,
3836,Narhali,,,India,,,"1. High confidence",,
3837,Pothohar,,,India,,,"1. High confidence",,
3842,"Theekri Majra",,,India,,,"1. High confidence",,
3845,Saikot,,,India,,,"1. High confidence",,
3846,Malerkotla,,,India,,,"1. High confidence",,
3952,"Lal Kurti Cantonment",,,India,"Lal Kurti Cantonment, Roorkee Cantonment is a Locality in Roorkee City in Uttarakhand State, India.","POINT(77.890848 29.854442)","1. High confidence",,
3953,Narhali,,,Pakistan,,"POINT(77.031978 31.577111)","4. Uncertain",,
3954,Duberan,,,Pakistan,,"POINT(73.504929 33.448972)","1. High confidence",,
3984,Gwalior,,,India,,"POINT(78.177205 26.212401)","1. High confidence",,
4016,Tanzania,,,"Tanzania, United Republic of",,"POINT(394.889139 -6.246553)","1. High confidence",,
4121,"West Punjab",,,Pakistan,,"POINT(72.709716 31.170406)","1. High confidence",,
4127,Madras,,,India,,"POINT(80.270718 13.08268)","1. High confidence",,
4131,Benaras,,,India,,"POINT(82.973914 25.317645)","1. High confidence",,
4135,Ahmedabad,,,India,,"POINT(72.571362 23.022505)","1. High confidence",,
4177,"Ramdas Sarai",,,India,,"POINT(78.862327 28.042199)","2. Probable location",Point,
4179,Rambagh,,,India,,"POINT(75.812471 26.899683)","1. High confidence",,
4321,Spain,,,Spain,,"POINT(-3.74922 40.463667)","1. High confidence",Area,
4330,Peshawar,,,Pakistan,,"POINT(71.524915 34.015137)","1. High confidence",Area,
4333,"Mozang Chungi",Mozang,,Pakistan,,"POINT(74.313753 31.559651)","2. Probable location",Area,
4334,"Anarkali Bazaar",Anarkali,,Pakistan,,"POINT(74.316111 31.566667)","2. Probable location",Area,
4335,Shahrah-e-Quaid-e-Azam,"The Mall|Mall Road",,Pakistan,,"POINT(74.338861 31.553026)","2. Probable location",Area,
4336,"Government College University Lahore (GCUL)","Government College",,Pakistan,,"POINT(74.307859 31.573152)","1. High confidence",Area,
4337,"District Courts Lahore",,,Pakistan,,"POINT(74.305291 31.573481)","2. Probable location",Area,
4343,"Lahore Cantonment",,,Pakistan,,"POINT(74.416029 31.478727)","2. Probable location",Area,
4345,"Shahi Mohallah","Hira Mandi",,Pakistan,,"POINT(74.308521 31.58608)","2. Probable location",Area,
4386,"Mughal Chak",,,Pakistan,"Sikh village","POINT(74.091292 32.144002)","2. Probable location",,
4387,Mannawala,,,Pakistan,"District of Sheikhpura","POINT(73.691881 31.588105)","1. High confidence",,
4388,"Gujranwala Refugee Camp",,,Pakistan,,"POINT(74.194453 32.187692)","2. Probable location",,
4389,"Qazi da Kot",,,Pakistan,,"POINT(72.006815 32.824387)","1. High confidence",,
4390,"Dera Baba Nanak",,,India,,"POINT(75.030448 32.032186)","1. High confidence",,
4391,"Rawalpindi Division",,,Pakistan,,"POINT(73.37087 33.461968)","1. High confidence",,
4392,"Guru Nanak Khalsa College, Gujranwala",,,Pakistan,,"POINT(74.194453 32.187692)","5. Mobile",,
4393,Gharjhakh,,,Pakistan,,"POINT(74.154824 32.170184)","1. High confidence",,
4499,Amethi,,,India,,"POINT(81.814238 26.154054)","1. High confidence",Area,
4516,"Roorkee Canal",,,India,,"POINT(77.897015 29.880392)","2. Probable location",Line,
4584,Karbala,,,Iraq,"A location of Islamic importance where the Prophet's grandson, Hussain, along with his army was deprived of water and massacred by Yazid.","POINT(44.019699 32.602715)","1. High confidence",,
4594,Purqazi,,,India,,"POINT(77.839587 29.657222)","1. High confidence",,
4637,"Punjab in Pakistan",,,Pakistan,,"POINT(72.709716 31.170406)","2. Probable location",,
4640,Pakistan,,,Pakistan,,"POINT(67.718705 28.176072)","1. High confidence",,
4648,Mootri,Urinal,,India,"A Urinal in Bombay.","POINT(72.815608 18.958908)","4. Uncertain",,
4789,Chanakyapuri,"Satya Marg",,India,"The area where the narrator and his family shifts into.","POINT(77.190404 28.597238)","1. High confidence",Area,"7 Metropolitan Area"
4790,"Cornwallis Road",,,India,"The house the narrator and his family used to live in. He shifted away from it because on reccomendation of his doctor to treat his PTSD symptoms.","POINT(77.234305 28.604448)","2. Probable location",Area,
4791,"Takht Parhi",,,Pakistan,"The area where the narrator's mother's brother was killed","POINT(73.151556 33.475525)","1. High confidence",Area,
4792,Basali,,,Pakistan,"The area where the narrator's cousin is killed",,"6. Not mappable",,
4793,"Thoa Khalsa",,,Pakistan,"The area where the narrator's mother's niece and her husband died from mob attacks.","POINT(73.432754 33.511307)","1. High confidence",Area,
4794,"Lala Musa Railway",,,Pakistan,"The narrator recounts a memory where his mother throws up ""muslim water"" at the Lala Musa Railway.","POINT(73.946653 32.700244)","1. High confidence",Point,
4795,Moradabad,,,India,"The area where members of Shaukat Hussain's family were raped and murdered by a mob","POINT(78.773329 28.838648)","1. High confidence",Area,
4815,"Gurdwara Bangla Sahib",,,India,"The area where Abnash takes her daily morning walks and recalls her worries over her family members in Pakistan.","POINT(77.209874 28.626369)","1. High confidence",Area,"7 Metropolitan Area"
4860,"Rawalpindi Station",,,Pakistan,,"POINT(73.048124 33.603812)","1. High confidence",,
4863,"Attari Station",,,India,,"POINT(74.607582 31.594638)","1. High confidence",,
4864,wagah,,,India,"Described as land belonging neither to India nor Pakistan - No man's land",,"1. High confidence",,
4866,Murree,,,Pakistan,,"POINT(73.394302 33.906958)","1. High confidence",,
4868,"Teli Mohalla",,,Pakistan,,"POINT(73.062757 33.616521)","1. High confidence",,
4869,"Paharganj bazaar",,,Pakistan,,,"1. High confidence",,
4870,"Khari Baoli",,,India,,"POINT(77.223233 28.656993)","1. High confidence",,
4871,"Chandni Chowk",,,India,"Locations in a dream","POINT(77.230337 28.650533)","1. High confidence",,
4872,"Delhi railway station","Hazrat Nizamuddin Railway Station",,India,"Locations in a dream","POINT(77.25341 28.588895)","3. Conjectural",,
4873,Chakwal,,,Pakistan,,"POINT(72.862958 32.932788)","1. High confidence",,
4874,"Convent School",,Cantonement,Pakistan,,,"1. High confidence",,
4875,"Gondlanwala village.",,,Pakistan,,"POINT(74.123859 32.19905)","1. High confidence",,
4877,"Kamoki Refugee Camp",,,Pakistan,,"POINT(74.194453 32.187692)","4. Uncertain",,
4891,"Tarlahi village","Tarlai Kalan",,Pakistan,,"POINT(73.151187 33.642352)","1. High confidence",Area,"10 Village/Civic Ward"
4908,"Wazirabad Station",,,Pakistan,"Refugee special train of 29 July had been completely massacred at this station","POINT(74.112148 32.445781)","1. High confidence",Point,
4948,Paharganj,,,India,"A fairly busy market in New Delhi next to the Gurdwara Bangla Sahib where Abnash walks","POINT(77.212778 28.645605)","1. High confidence",Area,
4950,Abbottabad,,,Pakistan,"The area where Abnash's daughter and son-in-law were left prior to the partition.","POINT(73.221498 34.16875)","1. High confidence",Area,"7 Metropolitan Area"
4953,Sheikhupura,,,Pakistan,"Massacre in Sheikhupura - The Parade","POINT(73.985024 31.716662)","1. High confidence",Area,"7 Metropolitan Area"
4959,"Multani Dhanda",,,India,"the rioters had finished off the Muslim colony in Multani Dhanda - The Parade","POINT(77.211055 28.647848)","1. High confidence",Area,
4961,"Chuna Mandi",,,India,"burning the few Muslim houses of Chuna Mandi - The Parade","POINT(77.211055 28.643548)","1. High confidence",Area,
4967,"Punjabi Lane",,,India,"The lane through which Abnash stops the rioters",,"6. Not mappable",,
4977,"Tees Hazari",,"Refugee Camp",India,"The refugee camp Abnash takes the 2 muslim girls to","POINT(77.214933 28.66456)","1. High confidence",Area,
4987,"Farid Chowk",,Amritsar,India,"Neighborhood in Amritsar, Punjab","POINT(74.874397 31.628361)","2. Probable location",Point,"8 Municipal Corporation / Municipality / City Council"
5144,"Amritsar-Lahore Express",,,India,,"POINT(74.866886 31.632939)","2. Probable location",Point,
5332,Karachi,,,Pakistan,,"POINT(67.001136 24.860734)","1. High confidence",,
5490,"Police Station",,,India,,,"1. High confidence",,
5517,Meerut,,,India,,"POINT(77.706414 28.984462)","1. High confidence",,
5522,"Irwin Hospital, Delhi",,,India,,"POINT(77.238594 28.638267)","1. High confidence",,
5531,"Tees Hazari Camop","Tis Hazari Camp",,India,,"POINT(77.210304 28.664608)","2. Probable location",,
5537,"Kucha Ram Lakhan","Sita Ram Bazar",,India,,"POINT(77.231172 28.645953)","1. High confidence",,
5600,"Ranbir Singh Pura tehsil",,,India,,,"1. High confidence",,
5601,Jammu,,,India,,,"1. High confidence",,
5602,Sialkot,,,Pakistan,,,"1. High confidence",,
5603,Narowal,,,Pakistan,,,"1. High confidence",,
5604,Suchetgarh,,,India,,,"1. High confidence",,
5605,"Babey di Ber gurdwara",,,Pakistan,,,"1. High confidence",,
5606,Phulra,,,Pakistan,,,"1. High confidence",,
5607,Khasiri,,,Pakistan,,,"1. High confidence",,
5609,Khanachak,,,Pakistan,,,"1. High confidence",,
5610,Ludhiana,,,India,,,"1. High confidence",,
5611,Patiala,,,India,,,"1. High confidence",,
5612,Delhi,,,India,,,"1. High confidence",,
5647,Anandgarh,,,India,,,"1. High confidence",,
5657,"Laddewala Varaich",,,Pakistan,,,"1. High confidence",,
