"Event H-ID","Start page event","End page event","Page Event Number",Line,"Narrative Status",Conflict,Harmony,Partition,"Characters(s) in Event H-ID","Characters(s) in Event RecordTitle","Location of Event (Text place) H-ID","Location of Event RecordTitle","Text pointer H-ID","Text pointer RecordTitle","Character(s) mentioned H-ID","Character(s) mentioned RecordTitle"
425,106,106,1,"During the rainy season we used to hang",,,,,317|318|344,"Hasan, Laila in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Unknown, Nandi in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
430,158,159,1,"Nita was explosive when we met to discuss",,,,,431|433|434|317|435,"Chatterjee, Nita in Sunlight on a Broken Column|Waheed, Nadira in Sunlight on a Broken Column|Davis, Joan in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Unknown, Romana in Sunlight on a Broken Column",427,"University in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
437,25,25,2,"Kammo fell on a heap of rubble",,,,FALSE,399|248,"Unknown, Kammo in Pinjar|Sahukars, Pooro in Pinjar",2824,"Field in Pinjar",37,Pinjar,,
438,25,25,3,"Kammo’s father had taken another woman",,Interpersonal,,FALSE,399|439,"Unknown, Kammo in Pinjar|Kammo's Father, Unknown in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
447,25,25,3,"door was pushed open and Kammo burst in",,,,FALSE,248|399|445,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar|Shaikh, Javed in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
449,25,25,4,"Hamida again massaged Kammo’s foot",,,Interpersonal,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
450,26,27,1,"One early morning Kammo came while",,,,FALSE,248|399,"Sahukars, Pooro in Pinjar|Unknown, Kammo in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
451,27,27,2,"“My aunt says that if I come to",,Religion,,TRUE,399|443|248,"Unknown, Kammo in Pinjar|Kammo’s Aunt, Unknown in Pinjar|Sahukars, Pooro in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
457,27,27,3,"Occasionally Hamida called on Rahima’s two wives",,,Interpersonal,FALSE,248|455,"Sahukars, Pooro in Pinjar|Rahima's Wives, Unknown in Pinjar",458,"Rahima's house in Pinjar",37,Pinjar,,
459,27,28,1,"drawn towards a young, sallow-faced girl",,,Interpersonal,FALSE,248|456,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
460,28,28,2,"Then Hamida sent some yarn to the girl’s mother",,,Interpersonal,FALSE,248|456|461,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar|Unknown, Taro's Mother in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
463,28,28,3,"Hamida sat down beside her",,,Interpersonal,FALSE,248|456,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
473,29,30,1,"When Zahra came to tell me that Aunt Abida had sent for me",,,,,318|317,"Hasan, Zahra in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
479,30,33,2,"In Baba Jan's room the light was blended with shadows",,,,,310|317|315|318|476,"Hasan, Syed Mohammad in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Ali, Karam in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
489,36,38,1,"Since Aunt Abida had moved from the zenana",,,,,,,1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
490,38,42,1,"I did not go to my room to pray but to Hakiman Bua",,,,,319|317,"Unknown, Hakiman in Sunlight on a Broken Column|Hasan, Laila in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
499,30,31,1,"Hamida began to press the girl’s limbs and",,Interpersonal,,,248|456|461,"Sahukars, Pooro in Pinjar|Unknown, Taro in Pinjar|Unknown, Taro's Mother in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
500,31,31,1,"Taro had a second ﬁt. Her ﬁsts were",,Religion,,,456|461,"Unknown, Taro in Pinjar|Unknown, Taro's Mother in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
506,32,32,1,"The two played hide-and-seek in the evenings",,,,,297|445,"Shaikh, Rashida in Pinjar|Shaikh, Javed in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
511,32,32,2,"One day a woman came to their",,,,,248|445,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
512,32,33,3,"Suddenly a woman came running down the street",,,,,510,"Unkown, mad-woman in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
513,33,33,1,"Before anything could be done to prevent her,",,Interpersonal,,,510|509,"Unkown, mad-woman in Pinjar|Unknown, toy-seller in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
517,34,34,1,"One evening the elders of the Panchayat took",,Interpersonal,,,510|516,"Unkown, mad-woman in Pinjar|Elders of the Panchayat, Unknown in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
520,35,35,1,"In the early hours of the morning, while it was still dark,",,,Interpersonal,,248|297|510|519,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Unkown, mad-woman in Pinjar|Unknown, mad-woman's child in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
522,35,35,2,"The news spread in the village like the morning mist.",,,Religion,,248|445|519,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar|Unknown, mad-woman's child in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
523,36,36,1,"The women came and blessed Hamida",,,Religion,,248|293|516,"Sahukars, Pooro in Pinjar|Village Women, Unkown in Pinjar|Elders of the Panchayat, Unknown in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
524,36,36,2,"In the evening Rashida cleansed the glass",,,,,297|248|519,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar|Unknown, mad-woman's child in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
525,36,37,3,"Hamida woke up with a start. Her new baby",,,,,248|445|297|519,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar|Shaikh, Rashida in Pinjar|Unknown, mad-woman's child in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
526,37,39,1,"The Hindus called a meeting to discuss the matter.",,Religion,,,527,"Unkown, Hindus of Sakkar in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
530,40,40,1,"One day the Hindu elders of the village sent for Rashida.",,Interpersonal,,,248|297|519|527,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Unknown, mad-woman's child in Pinjar|Unkown, Hindus of Sakkar in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
533,40,40,2,"A group of Hindu elders lay sprawling on charpoys laid out in a courtyard",,,,,532|297|527,"Unknown, Muslim Friends in Pinjar|Shaikh, Rashida in Pinjar|Unkown, Hindus of Sakkar in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
535,41,41,1,"My wife has nourished him up with infinite care for six months",,Religion,,,297|248|519,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar|Unknown, mad-woman's child in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
536,42,42,1,"The Hindu elders stood up to indicate that the argument was at an end",,Religion,,,537|248|527|297|519,"Unknown, water-carrier's woman in Pinjar|Sahukars, Pooro in Pinjar|Unkown, Hindus of Sakkar in Pinjar|Shaikh, Rashida in Pinjar|Unknown, mad-woman's child in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
538,42,43,2,"The water-carrier’s wife took the foundling from Hamida’s arms",,Religion,Interpersonal,,537|248,"Unknown, water-carrier's woman in Pinjar|Sahukars, Pooro in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
539,43,43,1,"the villages could talk of nothing but the fate of the foundling",,,,,540|519,"Unknown, villages in Pinjar|Unknown, mad-woman's child in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
541,43,43,2,"Hamida beat her head against the wall and shed bitter tears",,,,,248,"Sahukars, Pooro in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
542,44,44,1,"The next morning three men",,Religion,,,297|543,"Shaikh, Rashida in Pinjar|Unknown, Three men in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
544,45,45,1,"A week later the villager saw the foundling",,Religion,,,248|540,"Sahukars, Pooro in Pinjar|Unknown, villages in Pinjar",334,"Rashida's home in Pinjar",37,Pinjar,,
545,45,45,2,"Rahima’s old mother was gradually losing",,,,,366|547,"Unknown, Rahima's Mother in Pinjar|Unknown, Rahima's mother two daughter-in-law in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
548,45,45,3,"One day Rahima’s mother came",,Interpersonal,,,366|248,"Unknown, Rahima's Mother in Pinjar|Sahukars, Pooro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
549,46,46,1,"The name Rattoval pierced through",,,,,248,"Sahukars, Pooro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
550,46,46,2,"Rashida did not object to his wife’s",,Interpersonal,,,248|297|445|519|366|551,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Shaikh, Javed in Pinjar|Unknown, mad-woman's child in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, Old Servant of Rahima in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
552,46,46,3,"The servant and the child took",,,,,553|248|366|551|519,"Unknown, Ekka driver in Pinjar|Sahukars, Pooro in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, Old Servant of Rahima in Pinjar|Unknown, mad-woman's child in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
554,47,47,1,"The sound of pipes and drums came to her ears and all at once the palanquin",,,,,248,"Sahukars, Pooro in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
560,48,48,1,"The servant arranged the baggage",,,,,561|551|248|366,"Unknown, Holy One in Pinjar|Unknown, Old Servant of Rahima in Pinjar|Sahukars, Pooro in Pinjar|Unknown, Rahima's Mother in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
562,48,48,2,"The Holy One told Rahima’s Mother that her treatment would take thirteen days",,Interpersonal,,,248|551|366|519,"Sahukars, Pooro in Pinjar|Unknown, Old Servant of Rahima in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, mad-woman's child in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
563,49,49,1,"She left the boy in the care of",,Interpersonal,,,248|366|519,"Sahukars, Pooro in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, mad-woman's child in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
564,49,49,2,"Hamida could not hold back her tears",,Interpersonal,,,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
565,49,49,3,"Ram Chand looked worried and glanced",,,,,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
611,50,50,1,"The servant had come back from Sakkar",,,,FALSE,551,"Unknown, Old Servant of Rahima in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
621,50,50,2,"Hamida could not sleep that night",,,,FALSE,248,"Sahukars, Pooro in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
627,50,50,3,"Hamida rose from her charpoy",,,,FALSE,248,"Sahukars, Pooro in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
631,50,50,4,"Her palms were still on her eyes when",,,Religion,FALSE,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
634,50,50,5,"She withdrew her hands from",,,,FALSE,282|248,"Chand, Ram in Pinjar|Sahukars, Pooro in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
636,50,50,6,"She went away without turning to look back",,Interpersonal,,FALSE,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,"Rattoval in Pinjar",37,Pinjar,,
637,51,51,1,"One evening Rashida came home with his face drawn",,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
638,51,51,2,"He fondled the little one, as he always did",,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
842,51,51,3,"He spoke without her prompting",,,,FALSE,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
843,51,51,4,"Someone set fire to the stacks at night",,Interpersonal,,FALSE,258,"Sahukars, Unknown 2 in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
845,76,76,4,"All the same, early that morning, as usual",,,,,628,"Congress Committee Member (part of singing group), The General in Tamas",612,"Congress Committee Office in Tamas",34,Tamas,,
846,52,52,1,"The children were fast asleep, but no sleep came",,,,FALSE,248|297|445,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Shaikh, Javed in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,258,"Sahukars, Unknown 2 in Pinjar"
847,52,52,2,"He turned restlessly from one side to another",,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
848,52,52,3,"Rashida continued to toss as restlessly as before",,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
849,52,52,4,"She got up and sat beside her husband",,,,FALSE,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
853,52,52,5,"I am told that a young stranger came",,,,FALSE,248,"Sahukars, Pooro in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,258,"Sahukars, Unknown 2 in Pinjar"
855,76,76,5,"Ranvir had not returned home the night before",,,,,796,"Chairman's Son, Ranvir in Tamas",856,"Ranvir's home in Tamas",34,Tamas,,
857,52,52,6,"The only other information Rashida gave her",,,,FALSE,248|297|258,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Sahukars, Unknown 2 in Pinjar",355,"Sakkar village in Pinjar",37,Pinjar,,
858,76,76,6,"Master Dev Vrat had managed to send a message",,,,,739|749,"Vrat, Master Dev, head of the akhara in Tamas|Lala Ji, Elderly Gentleman, one of the outsiders attending the Executive Committee meeting, Lakshmi Narayan in Tamas",211,"THE CITY in Tamas",34,Tamas,,
942,254,254,2,"And Ghulam Ali attacked Nandi as she stood laughing",,,,,909|344,"Ali, Ghulam in Sunlight on a Broken Column|Unknown, Nandi in Sunlight on a Broken Column",943,"street in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",,
944,255,255,1,"the day of Uncle Hamid's election came at last",,,,,321,"Hasan, Hamid in Sunlight on a Broken Column",1991,"House in Sunlight on a Broken Column",25,"Sunlight on a Broken Column",321|910,"Hasan, Hamid in Sunlight on a Broken Column|Hasan, Kemal in Sunlight on a Broken Column"
972,35,35,1,"Darkness was beginning to fade by the time",,,,,816,"The singing group, Unknown in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
973,35,35,2,"Holding his head high and lifting the tricolour",,,,,816|974,"The singing group, Unknown in Tamas|Group of children in the mohalla, Imam Din Mohalla children in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
975,36,36,1,"Mehta and Master Ram Das took the trays and went towards the courtyard",,,,,816,"The singing group, Unknown in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
976,36,36,2,"Hey there, you—kind sir—what’s this crime you’re committing",,,,,816,"The singing group, Unknown in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
977,37,37,1,"Have you come to burden us with gratitude",,,Religion,,816,"The singing group, Unknown in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
979,37,37,2,"‘I’m doing it! I’m doing the community work, aren’t I",,,,,821|820,"Part of singing group, Shankar in Tamas|Congress Committee Member (part of singing group), Bakshi in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
981,37,37,3,"Right at that moment, a man came running from the direction of the Committee Park",,,,,983|816,"Man who ran from Committee Park, Man with black waistcoat in Tamas|The singing group, Unknown in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
986,38,38,1,"Please, gentlemen, get away from here. If you know what’s best for you, leave right away.",,Religion,,,816|988,"The singing group, Unknown in Tamas|Man who returns from mosque, Man who goes to mosque in Tamas",817,"Imam Din Mohalla in Tamas",34,Tamas,,
