"Character H-ID","Family name","Given name(s)",Nickname,"Page First Mentioned",Gender,Number,Religion,"Religious attribution","Religious conversion",Vitality,"Cause of death",Non-human,"Country of birth"
418,Student-leaders,Unknown,,156,Unknown,Group,Unknown,,,,,,
422,Governor,Unknown,,157,Unknown,Single,Unknown,,,,,,
423,Professors,Unknown,,157,Unknown,Group,Unknown,,,,,,
424,Proctors,Unknown,,157,Unknown,Group,Unknown,,,,,,
426,Students,Unknown,,157,Unknown,Group,Unknown,,,,,,
429,Principal,Unknown,,158,Unknown,Single,Unknown,,,,,,
431,Chatterjee,Nita,,123,Female,Single,Hindu,Nominal,,,,,
433,Waheed,Nadira,,125,Female,Single,Muslim,Nominal,,,,,
434,Davis,Joan,,126,Female,Single,Christian,Nominal,,,,,
435,Unknown,Romana,,159,Female,Single,Unknown,,,,,,
439,"Kammo's Father",Unknown,,25,Male,Single,Hindu,,,,,,
441,"Kammo's Mother",Unknown,,25,Female,Single,Hindu,Speculation,,,,,
442,"Kammo's Father's Mistress",Unknown,,25,Female,Single,Hindu,Speculation,,,,,
443,"Kammo’s Aunt",Unknown,,25,Female,Single,Hindu,Speculation,,,,,
445,Shaikh,Javed,,21,Male,Single,Muslim,,,,,,Pakistan
455,"Rahima's Wives",Unknown,,27,Female,Group.Female-dominant,Muslim,Speculation,,,,,
456,Unknown,Taro,,27,Female,Single,Unknown,,,,,,
461,Unknown,"Taro's Mother",,28,Female,Single,Muslim,Speculation,,,,,
462,"Taro's Husband",Unknown,,28,Male,Single,Hindu,Speculation,,,,,
464,"Taro's Mother",Unknown,,28,Female,Single,Hindu,Speculation,,,,,
467,"Taro's Husband's Mother",Unknown,,29,Female,Single,Hindu,Speculation,,,,,
468,"Taro's Husband's Mistress",Unknown,,29,Female,Single,Hindu,Speculation,,,,,
469,"Taro's Father",Unknown,,28,Male,Single,Hindu,Speculation,,,,,
470,"Taro's Husband's Father",Unknown,,28,Male,Single,Hindu,Speculation,,,,,
474,Unknown,Chuttan,,30,Male,Single,Unknown,,,,,,India
476,Ali,Karam,,30,Male,Single,Muslim|Muslim|Muslim,Speculation,,,,,India
477,Guard,unknown,,248,Unknown,Single,Unknown,,,,,,
480,Singh,"Thakur Balbir",,33,Male,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,India
481,Ahmed|Hasan,,,,Male,Single,Muslim,Speculation,,,,,India
482,Freemantle,Unknown,,34,Male,Single,Christian,Speculation,,,,,"Great Britain"
483,Unknown,Ramzano,,36,Female,Single,Muslim,Speculation,,,,,India
484,Unknown,Saliman,,36,Female,Single,Muslim,Speculation,,,,,India
485,Unknown,Ustaniji,,36,Female,Single,Muslim,Speculation,,,,,India
486,Unknown,"Hajjan Bibi",,36,Female,Single,Muslim,Speculation,,,,,India
487,Unknown,Asad,,36,Male,Single,Muslim,"Other-identified.Narrator other-attributed",,,,,India
488,Unknown,Zahid,,36,Male,Single,Muslim,Speculation,,,,,India
509,Unknown,toy-seller,,32,Female,Single,Unknown,,,,,,
510,Unkown,mad-woman,,32,Female,Single,Hindu,,,,,,
516,Unkown,"elders of the Panchayat",,34,Male,Group.Male-dominant,Unknown,,,,,,
519,Unknown,"mad-woman's child",,35,Unknown,Single,Unknown,,,,,,
527,Unkown,"Hindus of Sakkar",,37,Unknown,Faction,Hindu,,,,,,
532,Unknown,"Muslim Friends",,40,Unknown,Group,Muslim,Definitional,,,,,
537,Unknown,"water-carrier's woman",,38,Female,Group.Female-dominant,Hindu,Definitional,,,,,
540,Unknown,villages,,43,Unknown,Group,Unknown,Speculation,,,,,
543,Unknown,"Three men",,44,Male,Group.Male-dominant,Hindu,Definitional,,,,,
547,Unknown,"Rahima's mother two daughter-in-law",,45,Female,Group.Female-dominant,Muslim,Definitional,,,,,
551,Unknown,"Old Servant of Rahima",,46,Unknown,Single,Unknown,Speculation,,,,,
553,Unknown,"Ekka driver",,46,Unknown,Single,Unknown,Speculation,,,,,
561,Unknown,"Holy One",,45,Male,Single,Unknown,Speculation,,,,,
566,Tenant,Unkown,,51,Male,Single,Unknown,,,,,,Pakistan
567,Peasant,Unknown,,52,Unknown,Single,Unknown,,,,,,Pakistan
569,"Neighbouring Village Hindus",Unknown,,55,Unknown,Group,Hindu,Definitional,,,,,Pakistan
570,"Muslims of Chatto",Unknown,,55,Unknown,Group,Muslim,Definitional,,,,,Pakistan
571,"Hindus of Chatto",Unkown,,55,Unknown,Group,Hindu,Definitional,,,,,Pakistan
572,"Indian Soldiers",Unkown,,55,Unknown,Group.Male-dominant,Unknown,,,,,,India
573,"Young Girl",Unkown,,56,Female,Single,Unknown,,,,,,
574,"Young Refugee Girl",Unknown,,56,Female,Single,Unknown,,,,,,Pakistan
575,Strangers,Unknown,,56,Unknown,Group,Unknown,,,,,,
577,"Police Constables",Unknown,,56,Unknown,Group,Unknown,,,,,,
578,"Refugees from Rattoval",Unkown,,56,Unknown,Group,Unknown,,,,,,Pakistan
579,Goondas,Unknown,,56,Male,Group.Male-dominant,Unknown,,,,,,
580,Sahukars,Lajo,,58,Female,Single,Hindu,"Other-identified.Character other-attributed",,,,,Pakistan
584,Chand,"Ram's Mother",,58,Female,Single,Hindu,"Other-identified.Character other-attributed",,,,,
585,"Pakistani Soldiers",Unknown,,56,Male,Group.Male-dominant,Unknown,,,,,,Pakistan
595,"Lajo's Mother-in-Law","Old Woman",,61,Female,Single,Muslim,Definitional,,,,,Pakistan
596,"Lajo's Abductor",Son,,64,Female,Single,Hindu,Definitional,,,,,
598,Unknown,"Padre Sahib's Sister",,49,Female,Single,Unknown,,,,,,
599,Tucker,Sylvia,,52,Female,Single,Christian,Nominal,,,,,
605,Sweeper,Unknown,,14,Male,Single,Unknown,,,,,,
608,"Nathu's wife",Unknown,,15,Female,Single,Unknown,,,,,,
609,"From the piggery",Purbia,,16,Male,Single,Unknown,,,,,,
614,"Member of Secret Police 1",Unknown,,17,Male,Single,Unknown,,,,,,
615,"Member of Secret Police 2",Unknown,,17,Male,Single,Unknown,,,,,,
618,"Congress Committee secretary",Bakhshi,,17,Male,Group.Male-dominant,Unknown,,,,,,
619,"Ahmad, Congress Committee Member",Aziz,,17,Male,Single,Muslim,Definitional,,,,,
620,"Congress Committee Member (part of singing group)","Master Ramdas",,17,Male,Single,Hindu,Speculation,,,,,
622,"Congress Committee Member (part of singing group)","Mehta Ji",,17,Male,Single,Hindu,Speculation,,,,,
623,"Congress Committee Member","Ajit Singh",,17,Male,Single,Unknown,,,,,,
624,"Congress Committee Member (part of singing group)",Desraj,,17,Male,Single,Hindu,Speculation,,,,,
625,"Head of the District Congress Committee","Shankar Lal",,17,Male,Single,Unknown,,,,,,
626,"Congress Committee Member (part of singing group)","Kashmiri Lal",,17,Male,Single,Hindu,Speculation,,,,,
628,"Congress Committee Member (part of singing group)","The General",,18,Male,Single,Sikh,,,,,,
630,Contractor,Sethi,,19,Male,Single,Unknown,,,,,,
656,"Harnam Singh's wife",Banto,,99,Female,Single,Sikh,Nominal,,,,,
657,Singh,Iqbal,,99,Male,Single,Sikh,Nominal,,,,,
659,Khan,Karim,,60,Male,Single,Muslim,Nominal,,,,,
660,"Muslim Leaue members from Harnam's village","Ashraf and Latif",,101,Male,Group,Muslim,Definitional,,,,,
662,"Harnam Singh's daughter",Jasbir,,103,Female,Single,Sikh,Nominal,,,,,
673,Unknown,Muezzin,,111,Male,Single,Muslim,Definitional,,,,,
675,Ali,Ejaz,,112,Male,Single,Muslim,Self-identified,,,,,
679,Unknown,Zahid,,162,Male,Single,Muslim,Nominal,,,,,
680,Unknown,Mirasin,,113,Female,Group,Muslim,Definitional,,,,,
682,Unknown,Prophet,,113,Male,Single,Muslim,Definitional,,,,,
689,Ali,Naseer,,114,Male,Single,Muslim,Self-identified,,,,,
692,"Village Elder",Unknown,,123,Male,Single,Muslim,Definitional,,,,,
693,"Unit of Sikh soldiers",Unknown,,42,Male,Group.Male-dominant,Sikh,"Other-identified.Narrator other-attributed",,,,,
694,"Armed Sentries",Unknown,,42,Unknown,Group.Male-dominant,Unknown,,,,,,
695,"Train Guard",Unknown,,42,Male,Single,Unknown,,,,,,
697,"50 Armed Policemen",Unknown,,42,Male,Group,Unknown,,,,,,
698,"Men from Mano-Majra",Unknown,,8,Male,Group.Male-dominant,Unknown,,,,,,
707,"Constable 2 (accompanying subinspector)",Unknown,,14,Male,Single,Sikh,Speculation,,,,,
708,"Constable 1 (accompanying subinspector)",Unknown,,14,Male,Single,Sikh,Speculation,,,,,
710,Khanna,"Mr. unknown",,41,Male,Single,Hindu,Nominal,,,,,India
711,Secretary,Unknown,,41,Unknown,Single,Hindu,Definitional,,,,,India
712,"Executive Committee Members",Unknown,,42,Unknown,Group,Hindu,Definitional,,,,,
713,Muslims,Unknown,,7,Unknown,Group,Muslim,Definitional,,,,,
716,"Handful of men",Unknown,,42,Male,Group,Hindu,Speculation,,,,,
717,"Visitors, the distinguished leaders of all the Hindu Organizations in the City",Unknown,,42,Unknown,Group,Hindu,Definitional,,,,,
718,"Stragglers, remaining members of the congregation who were still around",Unknown,,42,Unknown,Group.Male-dominant,Hindu,Definitional,,,,,
722,"Sikh Gentlemen, who came with the leaders of the Hindu Organizations in the city",Unknown,,42,Male,Group.Male-dominant,Sikh,Definitional,,,,,
729,Begum,Haseena,,18,Female,Group,Muslim,,,,,,
731,"Businessmen, members of the congregation",Unknown,,42,Male,Group.Male-dominant,Hindu,Definitional,,,,,
732,"Public Servants, Members of the Congregation",Unknown,,42,Male,Group.Male-dominant,Hindu,Definitional,,,,,
733,"Lawyers, Members of the Congregation",Unknown,,42,Male,Group.Male-dominant,Hindu,Definitional,,,,,
734,"One Gentleman at the Executive Committee Meeting",Unknown,,42,Male,Single,Hindu,Definitional,,,,,
735,Bearer,Unknown,,18,Male,Single,Unknown,,,,,,
736,"Musician 1",Unknown,,18,Male,Group,Unknown,,,,,,
737,"Musician 2",Unknown,,18,Male,Group,Unknown,,,,,,
739,Vrat,"Master Dev, head of the akhara",,42,Male,Single,Hindu,Nominal,,,,,
740,Unknown,Bhola,,36,Male,Single,Unknown,,,,,,
741,"Chairman, Executive Committee",Unknown,,42,Male,Single,Hindu,Definitional,,,,,
742,"Solitary Sikh Peasant",Unknown,,21,Male,Group,Sikh,"Other-identified.Narrator other-attributed",,,,,
743,"Another Member, Executive Committee, who spoke after the Chairman promised to pay for the lathis",Unknown,,43,Male,Single,Hindu,Definitional,,,,,
744,"Solitary Sikh Peasant's Wife",Unknown,,21,Female,Group,Unknown,,,,,,
745,"Solitary Sikh Peasant's Infant",Unknown,,21,Unknown,Group,Sikh,Speculation,,,,,
746,"Youth Wing of the Hindu Community",Unknown,,43,Male,Group.Male-dominant,Hindu,Definitional,,,,,
748,"Station Master",Unknown,,21,Male,Single,Unknown,,,,,,
749,"Lala Ji, Elderly Gentleman, one of the outsiders attending the Executive Committee meeting","Lakshmi Narayan",,43,Male,Single,Hindu,Definitional,,,,,
752,"12 Armed Policemen who get down the same train as Iqbal",Unknown,,21,Male,Group.Male-dominant,Unknown,,,,,,
753,Unknown,Iqbal,,21,Male,Single,Atheist,,,,,,
755,"Deputy Commissioner",Unknown,,43,Male,Single,Unknown,Definitional,,,,,
757,"Young Villager",Unknown,,43,Male,Single,Unknown,,,,,,
758,Singh,Meet,,22,Male,Single,Sikh,Speculation,,,,,
759,"Father of Young Villager",Unknown,,43,Male,Single,Unknown,,,,,,
760,"Policeman 1 (Gurudwara)",Unknown,,44,Male,Single,Unknown,,,,,,
762,"Sikh Soldier 1",Unknown,,44,Male,Single,Sikh,,,,,,
763,"Sikh Soldier 2 (officer)",Unknown,,44,Male,Single,Sikh,,,,,,
764,Unknown,"Man 1",,24,Male,Single,Unknown,,,,,,
765,"Orderly accompanying Hukum Chand",Unknown,,15,Male,Single,Unknown,,,,,,
767,"Sikh Gentleman, who reports that a deputation has gone to meet the Deputy Commissioner",Unknown,,43,Male,Single,Sikh,Definitional,,,,,
768,Singh,Banta,,27,Male,Single,Sikh,Nominal,,,,,
773,"Elderly Man who asks about the Shiva Temple Bell",Unknown,,43,Male,Single,Hindu,Definitional,,,,,
780,"Servants of Hukum Chand",Unknown,,45,Unknown,Group.Male-dominant,Unknown,,,,,,
782,"Aunt of Hukum Chand",Unknown,,46,Female,Single,Sikh,Speculation,,,,,
783,Mlecchas,Unknown,,44,Unknown,Group,Muslim,Definitional,,,,,
785,"Wife of Hukum Chand",Unknown,,46,Female,Single,Sikh,Speculation,,,,,
790,"chaprasis, to be sent to each home informing the decisions taken in the E.C. Meeting",Unknown,,44,Male,Group.Male-dominant,Hindu,Definitional,,,,,
795,"Gurkhas, guards",Unknown,,44,Male,Group.Male-dominant,Hindu,Definitional,,,,,
796,"Chairman's Son",Ranvir,,43,Male,Single,Hindu,Definitional,,,,,
800,"Punkah-puller boy",Unknown,,47,Male,Single,Unknown,,,,,,
802,Chauffeur,Unknown,,21,Male,Single,Unknown,,,,,,
803,"Muslims of some villages",Unknown,,51,Unknown,Group,Muslim,,,,,,
804,"Baluchi and Pathan soldiers from Pakistan army",Unknown,,37,Male,Group,Unknown,,,,,,
806,"Mano Majra Muslims",Unknown,,51,Unknown,Group,Muslim,"Other-identified.Character other-attributed",,,,,
808,Rana,Pratap,,44,Male,Single,Hindu,Nominal,,,,,
809,"Refugees from Pakistan staying at Mano Majra temple",Unknown,,51,Unknown,Group,Sikh,"Other-identified.Character other-attributed",,,,,
810,Constables,Unknown,,26,Male,Group,Unknown,,,,,,
811,Unknown,Shivaji,,44,Nonbinary,Single,Hindu,Nominal,,,,,
812,"Superintendent of Police","Superintendent of Police",,33,Male,Single,Unknown,,,,,,
814,"Richard's friend",Jackson,,33,Male,Single,Christian,Speculation,,,,,
815,"Liza's friend","Jackon's Wife",,33,Female,Single,Christian,Speculation,,,,,
816,"The singing group","Congress workers",,35,Unknown,Group,Unknown,,,,,,
820,"Congress Committee Member (part of singing group)",Bakshi,,35,Male,Single,Hindu,Speculation,,,,,
821,"Part of singing group",Shankar,,35,Male,Single,Hindu,Speculation,,,,,
823,"Part of singing group",Aziz,,35,Male,Single,Muslim,Speculation,,,,,
829,"Man who talks to singing group","Tonga driver from Chhachh",,36,Male,Single,Unknown,,,,,,
830,"Man who talks to singing group","Elderly white-haired man",,36,Male,Single,Muslim,"Other-identified.Narrator other-attributed",,,,,
836,"Group encountered by Congress singing group",Mohyals,,39,Male,Group.Male-dominant,Unknown,,,,,,
851,"Sultana Badmash",Unknown,,61,Male,Group.Male-dominant,Unknown,Speculation,,,,,
852,Dina,Khair,,65,Male,Group.Male-dominant,Muslim,"Other-identified.Narrator other-attributed",,,,,
866,"Imam Deen the oilman",Unknown,,123,Male,Single,Muslim,Definitional,,,,,
869,"Village Barber",Unknown,,123,Male,Single,Muslim,Definitional,,,,,
894,"Raja of Bhimnagar",Unknown,,88,Male,Single,Unknown,,,,,,
909,Ali,Ghulam,,168,Male,Single,Muslim,Nominal,,,,,
910,Hasan,Kemal,,172,Male,Single,Muslim,Nominal,,,,,
913,Hasan,Saleem,,87,Male,Single,Muslim,Nominal,,,,,
920,Husain,Ameer,,165,Male,Single,Muslim,Nominal,,,,,
922,Sepahis,Unknown,,174,Male,Group.Male-dominant,Unknown,,,,,,
923,Unknown,Sharifan,,174,Female,Single,Muslim,Nominal,,,,,
931,Gardener,Unknown,,179,Unknown,Single,Unknown,,,,,,
932,"Hill people",Unknown,,179,Unknown,Group,Unknown,,,,,,
933,Coolies,Unknown,,179,Male,Group,Unknown,,,,,,
951,"Congress Committee Member","Jawaharlal Nehru",,19,Male,Single,Hindu,,,,,,
952,"Congress Committee Member",Kohli,,19,Male,Group.Male-dominant,Unknown,,,,,,
954,"Congress Committee Member","Jeet Singh",,21,Male,Single,Unknown,,,,,,
955,"Part of singing group, went for cleaning the drains","Gosain Ji",,22,Male,Single,Hindu,Speculation,,,,,
956,"Part of singing group, went for cleaning the drains","Sher Khan",,22,Male,Single,Muslim,Speculation,,,,,
963,"Muslim League Member","Mahmud Sahib",,25,Male,Group.Male-dominant,Muslim,,,,,,
964,"Muslim League Member",Aziz,,25,Male,Group.Male-dominant,Unknown,,,,,,
965,"Congress Committee Member","Hakim Ji",,25,Male,Group.Male-dominant,Unknown,,,,,,
966,"Congress President","Maulana Azad",,25,Male,Single,Unknown,,,,,,
967,Waheed,Unknown,,255,Female,Single,Unknown,,,,,,
970,"Deputy Commisioner",Unknown,,256,Male,Single,Unknown,,,,,,
974,"Group of children in the mohalla","Imam Din Mohalla children",,35,Unknown,Group,Unknown,,,,,,
978,Cowley,Unknown,,257,Male,Single,Unknown,,,,,,
980,"Rani Of Phulgaon",Unknown,,152,Female,Single,Unknown,,,,,,
982,Zamani,Qamar,,257,Female,Single,Muslim,Speculation,,,,,
983,"Man who ran from Committee Park","Man with black waistcoat",,37,Male,Single,Unknown,,,,,,
985,"Orderly 1",Unknown,,14,Male,Group,Unknown,,,,,,
987,"Orderly 2",Unknown,,14,Male,Group,Unknown,,,,,,
988,"Man who returns from mosque","Man who goes to mosque",,37,Male,Single,Muslim,"Other-identified.Narrator other-attributed",,,,,
997,"Man with turban","Man guiding cow",,40,Male,Single,Muslim,Speculation,,,,,
998,Baksh,"Mullah Imam",,8,Male,Single,Muslim,Definitional,,,,,
1003,"King of Oudhs",Unknown,,257,Male,Group.Male-dominant,Unknown,,,,,,
1007,"Manager of Rani Sahiba",Unknown,,257,Male,Single,Unknown,,,,,,
1009,Lal,"Lala Ram Lal's Son",,10,Male,Group,Hindu,,,,,,
1010,Lal,"Lala Ram Lal's Wife",,10,Female,Group,Hindu,,,,,,
1011,Lal,"Lala Ram Lal's Mother",,10,Female,Group,Hindu,,,,,,
1012,"Singh (Juggut's Mother)",Beybey,,11,Female,Single,Sikh,Self-identified,,,,,
1013,"Rani Sahiba",Unknown,,257,Female,Single,Unknown,,,,,,
1019,visitors,Unknown,,261,Unknown,Group,Unknown,,,,,,
1023,"Unknown group at relief committee",Unknown,,141,Male,Group.Male-dominant,Sikh|Unknown,"Other-identified.Narrator other-attributed",,,,,
1025,"Chaprasi's Pandit",Unknown,,141,Male,Single,Hindu,Nominal,,,,,
1026,"Chaprasi's Pandit's wife",Unknown,,141,Female,Single,Hindu,Nominal,,,,,
1030,Rakha,Allah,,142,Male,Single,Muslim,"Other-identified.Narrator other-attributed",,,,,
1031,"Daughter of Chaprasi's Pandit",Prakasho,,142,Female,Single,Hindu,"Other-identified.Narrator other-attributed",,,,,
1037,Unknown,Akbar,,181,Male,Single,Muslim,Speculation,,,,,
1038,Unknown,Anwar,,181,Male,Single,Muslim,Speculation,,,,,
1040,Faction,Turks,,125,Unknown,Faction,Muslim,Nominal,,,,,
1041,Unknown,Coolies,,181,Unknown,Group.Male-dominant,Unknown,,,,,,
1046,Unknown,"Senior rani",,181,Female,Single,Unknown,,,,,,
1059,Husain,Laila,,259,Female,Single,Muslim,,,,,,Pakistan
1069,"Mrs. Lal",Unknown,,177,Female,Single,Hindu,Speculation,,,,,
1070,"Dr. Lal",Unknown,,183,Male,Single,Hindu,Speculation,,,,,
1073,"Mrs. Agarwal",Unknown,,183,Female,Single,Hindu,Speculation,,,,,
1074,"Mr. Agarwal",Unknown,,183,Male,Single,Hindu,Speculation,,,,,
1078,"servant of Raja of Amirpur",Unknown,,183,Female,Single,Unknown,,,,,,
1079,Singh,"Thakur Ranjit",,187,Male,Single,Hindu,Speculation,,,,,
1080,Ali,"Kunwar Raza",,187,Male,Single,Muslim,Speculation,,,,,
1083,Waliuddin,Sheikh,,177,Male,Single,Muslim,Self-identified,,,,,
1086,Unknown,Ayah,,205,Female,Single,Unknown,,,,,,
1087,"Ranjit's personal servant",Unknown,,208,Male,Single,Hindu,Definitional,,,,,
1093,Singh,Prem,,88,Male,Group,Sikh,Nominal,,,,,
1094,"Goan bandleader",Mendoza,,88,Unknown,Group,Sikh,Speculation,,,,,
1096,Orchestra,McMello,,88,Unknown,Group,Sikh,Speculation,,,,,
1097,Orchestra,DeSilva,,88,Unknown,Group,Sikh,Speculation,,,,,
1098,Orchestra,DeSaram,,88,Unknown,Group,Sikh,Speculation,,,,,
1099,Orchestra,Gomes,,88,Unknown,Group,Sikh,Speculation,,,,,
1101,Singh,Sunder,,88,Male,Group,Sikh,"Other-identified.Narrator other-attributed",,,,,
