Event H-ID,Start page event,End page event,Page Event Number,Line,Narrative Status,Conflict,Harmony,Religious Syncretism,Partition,Location of Event (Text place) H-ID,Location of Event RecordTitle,Character(s) mentioned H-ID,Character(s) mentioned RecordTitle
549,46,46,1,The name Rattoval pierced through,,,,,,355,Sakkar village in Pinjar,,
550,46,46,2,Rashida did not object to his wife’s,,Interpersonal,,,,355,Sakkar village in Pinjar,,
552,46,46,3,The servant and the child took,,,,,,355,Sakkar village in Pinjar,,
554,47,47,1,The sound of pipes and drums came to her ears and all at once the palanquin,,,,,,559,Rattoval in Pinjar,,
560,48,48,1,The servant arranged the baggage,,,,,,559,Rattoval in Pinjar,,
562,48,48,2,The Holy One told Rahima’s Mother that her treatment would take thirteen days,,Interpersonal,,,,559,Rattoval in Pinjar,,
563,49,49,1,She left the boy in the care of,,Interpersonal,,,,559,Rattoval in Pinjar,,
564,49,49,2,Hamida could not hold back her tears,,Interpersonal,,,,559,Rattoval in Pinjar,,
565,49,49,3,Ram Chand looked worried and glanced,,,,,,559,Rattoval in Pinjar,,
611,50,50,1,The servant had come back from Sakkar,,,,,FALSE,559,Rattoval in Pinjar,,
621,50,50,2,Hamida could not sleep that night,,,,,FALSE,559,Rattoval in Pinjar,,
627,50,50,3,Hamida rose from her charpoy,,,,,FALSE,559,Rattoval in Pinjar,,
631,50,50,4,Her palms were still on her eyes when,,,Religion,,FALSE,559,Rattoval in Pinjar,,
634,50,50,5,She withdrew her hands from,,,,,FALSE,559,Rattoval in Pinjar,,
636,50,50,6,She went away without turning to look back,,Interpersonal,,,FALSE,559,Rattoval in Pinjar,,
637,51,51,1,One evening Rashida came home with his face drawn,,,,,FALSE,355,Sakkar village in Pinjar,,
638,51,51,2,"He fondled the little one, as he always did",,,,,FALSE,355,Sakkar village in Pinjar,,
842,51,51,3,He spoke without her prompting,,,,,FALSE,355,Sakkar village in Pinjar,,
843,51,51,4,Someone set fire to the stacks at night,,Interpersonal,,,FALSE,355,Sakkar village in Pinjar,,
845,76,76,4,"All the same, early that morning, as usual",,,,,,612,Congress Committee Office in Tamas,,
846,52,52,1,"The children were fast asleep, but no sleep came",,,,,FALSE,355,Sakkar village in Pinjar,258,"Sahukars, Unknown 2 in Pinjar"
847,52,52,2,He turned restlessly from one side to another,,,,,FALSE,355,Sakkar village in Pinjar,,
848,52,52,3,Rashida continued to toss as restlessly as before,,,,,FALSE,355,Sakkar village in Pinjar,,
849,52,52,4,She got up and sat beside her husband,,,,,FALSE,355,Sakkar village in Pinjar,,
853,52,52,5,I am told that a young stranger came,,,,,FALSE,355,Sakkar village in Pinjar,258,"Sahukars, Unknown 2 in Pinjar"
855,76,76,5,Ranvir had not returned home the night before,,,,,,856,Ranvir's home in Tamas,,
857,52,52,6,The only other information Rashida gave her,,,,,FALSE,355,Sakkar village in Pinjar,,
858,76,76,6,Master Dev Vrat had managed to send a message,,,,,,211,THE CITY in Tamas,,
942,254,254,2,And Ghulam Ali attacked Nandi as she stood laughing,,,,,,943,street in Sunlight on a Broken Column,,
944,255,255,1,the day of Uncle Hamid's election came at last,,,,,,1991,House in Sunlight on a Broken Column,321|910,"Hasan, Hamid in Sunlight on a Broken Column|Hasan, Kemal in Sunlight on a Broken Column"
972,35,35,1,Darkness was beginning to fade by the time,,,,,,817,Imam Din Mohalla in Tamas,,
973,35,35,2,Holding his head high and lifting the tricolour,,,,,,817,Imam Din Mohalla in Tamas,,
975,36,36,1,Mehta and Master Ram Das took the trays and went towards the courtyard,,,,,,817,Imam Din Mohalla in Tamas,,
976,36,36,2,"Hey there, you—kind sir—what’s this crime you’re committing",,,,,,817,Imam Din Mohalla in Tamas,,
977,37,37,1,Have you come to burden us with gratitude,,,Religion,,,817,Imam Din Mohalla in Tamas,,
979,37,37,2,"‘I’m doing it! I’m doing the community work, aren’t I",,,,,,817,Imam Din Mohalla in Tamas,,
981,37,37,3,"Right at that moment, a man came running from the direction of the Committee Park",,,,,,817,Imam Din Mohalla in Tamas,,
986,38,38,1,"Please, gentlemen, get away from here. If you know what’s best for you, leave right away.",,Religion,,,,817,Imam Din Mohalla in Tamas,,
989,38,38,2,"Just then, a stone came flying through the air and fell near Bakhshi",,Religion,,,,817,Imam Din Mohalla in Tamas,,
990,38,38,3,The Congress group set out quietly,,,,,,817,Imam Din Mohalla in Tamas,,
991,39,39,1,When they turned into the gali of the Mohyals,,,,,,838,Gali of the Mohyals in Tamas,,
992,39,39,2,Look at the steps leading up to the door of the mosque,,Religion,,,,837,Kelon ka Masjid in Tamas,,
993,39,39,4,A Muslim passed quickly by on the street and the moment,,,,,,837,Kelon ka Masjid in Tamas,,
994,39,39,5,Let’s get that pig carcass out of here,,,Religion,,,837,Kelon ka Masjid in Tamas,,
995,40,40,1,It was a black pig. Someone had covered it with a sack,,,,,,837,Kelon ka Masjid in Tamas,,
996,40,40,2,Then came the sound of running footsteps from the direction of the well,,,,,,837,Kelon ka Masjid in Tamas,,
1021,140,141,2,Some Congress workers were sitting on the platform,,,,,TRUE,137,Relief Committee Office in Tamas,628,"Congress Committee Member (part of singing group), The General in Tamas"
1022,141,141,1,A group of ten or eleven men was joking,,,,,FALSE,137,Relief Committee Office in Tamas,,
1024,141,142,2,Across the veranda to one side of the courtyard,,Religion|Caste,,,TRUE,632,Arya School in Tamas,,
1028,142,142,1,Allah Rakha had indeed taken Prakasho home,,Religion,,,TRUE,1033,Bottom of hill in Tamas,,
1034,142,143,2,"Just then, Allah Rakha came in, and sitting down",,,Religion|Gender|Caste,,TRUE,1035,Allah Rakha's home in Tamas,1026,"Chaprasi's Pandit's wife, Unknown in Tamas"
1090,13,13,1,"He slumped on the floor, his back resting against the wall",,,,,,604,Nathu's Hut in Tamas,,
1091,13,13,2,He had heard somewhere that if you want to kill a pig,,,,,,604,Nathu's Hut in Tamas,229,"Nathu's friend, Bhikhru Chamar in Tamas"
1092,13,14,3,Our Vet Sahib needs a dead pig for his work,,,,,,604,Nathu's Hut in Tamas,227|605,"Asked for the dead pig, Vet Sahib in Tamas|Sweeper, Unknown in Tamas"
1100,14,15,1,Getting the pig into the hut was hardly easy,,,,,,604,Nathu's Hut in Tamas,219|605,"Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas|Sweeper, Unknown in Tamas"
1102,15,16,1,What have I gotten myself into,,,,,,1106,Yard outside Nathu's Hut in Tamas,219|605|609|608,"Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas|Sweeper, Unknown in Tamas|From the piggery, Purbia in Tamas|Nathu's wife, Unknown in Tamas"
1107,16,17,1,He approached the hut with trepidation,,,,,,604,Nathu's Hut in Tamas,,
1118,17,19,1,The clock at Sheikh's Garden struck four.,,,,,,612,Congress Committee Office in Tamas,614|615|951|146|624|620,"Member of Secret Police 1, Unknown in Tamas|Member of Secret Police 2, Unknown in Tamas|Congress Committee Member, Jawaharlal Nehru in Tamas|Dutt, Dev in Tamas|Congress Committee Member (part of singing group), Desraj in Tamas|Congress Committee Member (part of singing group), Master Ramdas in Tamas"
1121,19,20,1,"But after they returned from Lahore, Shankar truly did get back at Mehta",,,,,,1127,Scrutiny Committee Office in Tamas,,
1129,22,22,1,Gosain ji told me last night,,,,,,817,Imam Din Mohalla in Tamas,,
1132,20,22,1,Bakhshi was getting upset,,,,,,612,Congress Committee Office in Tamas,951|624|954,"Congress Committee Member, Jawaharlal Nehru in Tamas|Congress Committee Member (part of singing group), Desraj in Tamas|Congress Committee Member, Jeet Singh in Tamas"
1135,22,22,2,We're cleaing the drains in that mohalla?,,,,,,612,Congress Committee Office in Tamas,955,"Part of singing group, went for cleaning the drains, Gosain Ji in Tamas"
1160,42,43,2,I walked as though compelled across the shadowed courtyard,,,,,,1991,House in Sunlight on a Broken Column,,
1161,44,44,1,"After lunch, Aunt Abida said she wished to help Hakiman Bua prepare some Halva",,,,,,1991,House in Sunlight on a Broken Column,,
1164,44,46,2,Aunt Majida said Zahra and I were more a hindrance than a help,,,,,,1991,House in Sunlight on a Broken Column,,
1172,46,51,2,As she gushed towards us in her flowered dress and feathered hat,,,,,,1991,House in Sunlight on a Broken Column,,
1181,114,115,1,"When Harnam Singh knocked again, a woman called out",,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",,
1182,115,116,1,The older woman stood up and washed her hands in a pan of water,,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",96|91,"Ali, Ehsan in Tamas|Ali, Ramzan in Tamas"
1214,61,61,1,The whole village was on the roofs looking towards,,Nation,,,TRUE,704,Mano Majra Railway Station in Train to Pakistan,762,"Sikh Soldier 1, Unknown in Train to Pakistan"
1231,23,24,1,As soon as he set foot in the gali,,,,,,607,Ox-cart Road in Tamas,,
1249,24,24,1,Nathu felt as though he'd just stepped out for a stroll,,,,,,1251,Feeding trough in Tamas,219|227,"Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas|Asked for the dead pig, Vet Sahib in Tamas"
1252,24,25,2,He had left the tonga-driver's mohalla,,,,,,828,Committee Park in Tamas,219,"Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas"
1254,25,26,1,Nathu entered a narrow gali,,Religion|Nation,Religion,,TRUE,828,Committee Park in Tamas,1260,"Congress Committee Member, Mahatma Gandhi in Tamas"
1261,26,26,1,"Just then, Nathu saw Murad Ali standing at a slight distance",,,,,,817,Imam Din Mohalla in Tamas,,
1283,99,99,1,"Even since the night before, Banto had been saying",,,,,,1285,Harnam Singh's shop in Tamas,,
1284,100,100,1,Karim Khan returned just five minutes later.,,Religion,,,,1285,Harnam Singh's shop in Tamas,,
1287,100,101,2,Just then they heard the far off sound of a beating drum,,,,,,1285,Harnam Singh's shop in Tamas,660,"Muslim Leaue members from Harnam's village, Ashraf and Latif in Tamas"
1288,101,101,2,Banto and Harnam Singh came out and fixed the lock onto the shop,,,,,,1285,Harnam Singh's shop in Tamas,,
1290,101,102,3,The rioters had reached the top of the hill overlooking Harnam Singh’s shop.,,Religion,,,,1285,Harnam Singh's shop in Tamas,,
1291,103,104,1,"Walls are good for hiding people, but there were no walls here",,,,,,1179,Muridpur in Tamas,662|657,"Harnam Singh's daughter, Jasbir in Tamas|Singh, Iqbal in Tamas"
1296,116,117,2,Harnam Singh had trouble climbing up,,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",96|91,"Ali, Ehsan in Tamas|Ali, Ramzan in Tamas"
1297,117,117,2,Darkness fell again in the crawl space.,,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",659,"Khan, Karim in Tamas"
1302,117,118,3,"A little while later, Akran’s father-in-law and Akran entered the courtyard carrying a large black trunk",,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",91,"Ali, Ramzan in Tamas"
1303,118,119,1,But then the same drama occurred that had taken place in the morning,,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",662,"Harnam Singh's daughter, Jasbir in Tamas"
1304,119,119,1,They awoke to the sound of axe blows raining down upon their door,,Religion,,,TRUE,1294,"Ehsan Ali's home, Muridpur in Tamas",,
1305,120,120,1,It must have been around midnight when Rajo,,Religion,,,TRUE,1179,Muridpur in Tamas,,
1306,21,21,1,She allowed herself to be dragged onto the table,,,,,,1002,Rest House in Train to Pakistan,,
1308,121,121,1,While Harnam Singh and Banto were seeking shelter,,Religion,,,TRUE,1313,Fields and hills near Muridpur in Tamas,141|656,"Singh, Harnam in Tamas|Harnam Singh's wife, Banto in Tamas"
1309,21,21,2,Two shots rang out and silenced the barking and shouting,,,,,,1002,Rest House in Train to Pakistan,,
1310,21,21,3,Only a solitary Sikh peasant carrying an ironshod bamboo staff,,,,,,704,Mano Majra Railway Station in Train to Pakistan,,
1311,21,21,4,"from the compartment just behind the engine, armed policemen emerged",,,,,,704,Mano Majra Railway Station in Train to Pakistan,,
1312,21,22,5,The young man reached the gate first and stopped between the stationmaster and the police.,,,,,,704,Mano Majra Railway Station in Train to Pakistan,,
1314,22,22,2,He stepped into the open door of the temple courtyard.,,,,,,705,Gurudwara in Train to Pakistan,,
1315,122,122,1,One clever fellow had an idea,,Religion,Religion,,TRUE,1313,Fields and hills near Muridpur in Tamas,141,"Singh, Harnam in Tamas"
1317,122,123,2,After that they left the hilly area,,Religion,,,TRUE,1313,Fields and hills near Muridpur in Tamas,,
1318,123,123,1,The conversion ceremony began at the home of,,Religion,,,TRUE,1320,"Home of Imam Deen the oilman, Muridpur in Tamas",866,"Imam Deen the oilman, Unknown in Tamas"
1323,123,123,2,"After this, he was taken to the well",,Religion,Religion,,TRUE,1324,Well near Imam Deem's home in Tamas,,
1325,123,124,3,The procession then returned to the home of Imam,,Religion,Religion,,TRUE,1320,"Home of Imam Deen the oilman, Muridpur in Tamas",,
1326,24,25,2,He had spent the night sitting on his bedroll in a crowded third-class compartment,,,,,,1004,Train Compartment in Train to Pakistan,,
1328,22,24,4,"The old Sikh came to him, combing his long beard with his fingers.",,,,,,705,Gurudwara in Train to Pakistan,998|752|110,"Baksh, Mullah Imam in Train to Pakistan|12 Armed Policemen who get down the same train as Iqbal, Unknown in Train to Pakistan|Lal, Lala Ram in Train to Pakistan"
1329,25,26,1,Meet Singh came in exclaiming philosophically,,,,,,705,Gurudwara in Train to Pakistan,112|120,"Singh, Juggut in Train to Pakistan|Chand, Hukum in Train to Pakistan"
1351,22,22,1,The young man went out of the station towards the village.,,,,,,701,Mano Majra in Train to Pakistan,,
1357,22,22,3,The young man went into the room.,,,,,,705,Gurudwara in Train to Pakistan,,
1360,24,24,1,"In the afternoon, Iqbal stretched himself on the coarse string charpai and tried to get some sleep.",,,,,,705,Gurudwara in Train to Pakistan,,
1363,26,27,1,Iqbal stepped out of the gurdwara,,,,,,701,Mano Majra in Train to Pakistan,,
1364,27,27,1,Iqbal stood up and looked all round.,,,,,,704,Mano Majra Railway Station in Train to Pakistan,,
1365,27,27,2,Iqbal found his way back easily.,,,,,,701,Mano Majra in Train to Pakistan,,
1366,27,27,3,Iqbal went straight to his room and lay down on his charpai in the dark,,,,,,705,Gurudwara in Train to Pakistan,,
1369,27,27,4,A minute later Meet Singh stood,,,,,,705,Gurudwara in Train to Pakistan,768,"Singh, Banta in Train to Pakistan"
1370,27,27,5,Iqbal fished out his silver hip flask,,,,,,705,Gurudwara in Train to Pakistan,768,"Singh, Banta in Train to Pakistan"
1371,27,29,6,Then he got up to greet the visitors.,,,,,,705,Gurudwara in Train to Pakistan,,
1373,29,30,1,Iqbal lay down once more and gazed at the stars.,,,,,,705,Gurudwara in Train to Pakistan,,
1374,42,42,1,Early in September the time schedule in Mano Majra,,,,,TRUE,701,Mano Majra in Train to Pakistan,,
1378,42,42,2,This was not all that changed the life,,Nation|Religion,,,TRUE,706,Near the Railway Station in Train to Pakistan,,
1382,160,161,1,I STAYED at home the next day.,,Nation|Gender,,,FALSE,671,Hamid's Study in Sunlight on a Broken Column,315|318|426,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column|Students, Unknown in Sunlight on a Broken Column"
1385,161,162,1,"Aunt Abida leaned against the large boulster,",,,,,FALSE,1991,House in Sunlight on a Broken Column,431|487|426,"Chatterjee, Nita in Sunlight on a Broken Column|Unknown, Asad in Sunlight on a Broken Column|Students, Unknown in Sunlight on a Broken Column"
1387,42,42,3,"One morning, a train from Pakistan halted at Mano Majra",,,,,TRUE,704,Mano Majra Railway Station in Train to Pakistan,693,"Unit of Sikh soldiers, Unknown in Train to Pakistan"
1388,162,162,1,"The sound of voices came in chanting unison,",,Nation,,,FALSE,1389,Road in front of the Hasan house in Sunlight on a Broken Column,431|487,"Chatterjee, Nita in Sunlight on a Broken Column|Unknown, Asad in Sunlight on a Broken Column"
1391,162,164,2,It did not surprise me when I saw,,,,,FALSE,1991,House in Sunlight on a Broken Column,431|374,"Chatterjee, Nita in Sunlight on a Broken Column|Police, Unknown in Sunlight on a Broken Column"
1392,164,164,1,When Aunt Saira and Zahra came back from,,,,,FALSE,1991,House in Sunlight on a Broken Column,321|487,"Hasan, Hamid in Sunlight on a Broken Column|Unknown, Asad in Sunlight on a Broken Column"
1393,165,165,1,"""Why do you not taunt me about inaction",,,,,FALSE,1991,House in Sunlight on a Broken Column,431,"Chatterjee, Nita in Sunlight on a Broken Column"
1394,165,165,2,And then Zahid came in breaking the mood,,,,,FALSE,1991,House in Sunlight on a Broken Column,315,"Hasan, Abida in Sunlight on a Broken Column"
1395,166,166,1,I did not see Nita before she was,,,,,FALSE,1396,Hostel in Sunlight on a Broken Column,431|433,"Chatterjee, Nita in Sunlight on a Broken Column|Waheed, Nadira in Sunlight on a Broken Column"
1397,166,167,2,Then the time came near for my aunts,,,,,FALSE,1991,House in Sunlight on a Broken Column,315|318,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Zahra in Sunlight on a Broken Column"
1398,167,167,1,The problems created by the students had not,,,,,FALSE,2147,Hasanpur in Sunlight on a Broken Column,325|426|1399,"Agarwal, Sita in Sunlight on a Broken Column|Students, Unknown in Sunlight on a Broken Column|Government, Unknown in Sunlight on a Broken Column"
1401,42,42,4,"In the afternoon, men gathered in little groups",,,,,,705,Gurudwara in Train to Pakistan,,
1402,168,169,1,THE day they left I was told Saliman,,Gender,,,FALSE,1991,House in Sunlight on a Broken Column,909|321|315|487|920,"Ali, Ghulam in Sunlight on a Broken Column|Hasan, Hamid in Sunlight on a Broken Column|Hasan, Abida in Sunlight on a Broken Column|Unknown, Asad in Sunlight on a Broken Column|Husain, Ameer in Sunlight on a Broken Column"
1403,172,173,1,IT was summer when my cousins came back,,,,,FALSE,1991,House in Sunlight on a Broken Column,315|310,"Hasan, Abida in Sunlight on a Broken Column|Hasan, Syed Mohammad in Sunlight on a Broken Column"
1404,42,42,5,"Women, who had gone from door to door",,,,,,1400,Banta Singh's house in Mano Majra in Train to Pakistan,,
1405,43,43,1,His wife and only son had died within,,,Religion,,FALSE,747,Mosque in Train to Pakistan,118,"Nooran, Unknown in Train to Pakistan"
1406,43,43,2,Meet Singh inspired no such affection and respect.,,,Religion,,FALSE,701,Mano Majra in Train to Pakistan,998,"Baksh, Mullah Imam in Train to Pakistan"
1407,173,174,1,On the first evening of their arrival when,,,,,FALSE,1991,House in Sunlight on a Broken Column,,
