Event H-ID,Start page event,End page event,Page Event Number,Line,Narrative Status,Conflict,Harmony,Religious Syncretism,Partition,Characters(s) in Event H-ID,Characters(s) in Event RecordTitle,Location of Event (Text place) H-ID,Location of Event RecordTitle
524,36,36,2,In the evening Rashida cleansed the glass,,,,,,297|248|519,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar|Unknown, mad-woman's child in Pinjar",334,Rashida's home in Pinjar
525,36,37,3,Hamida woke up with a start. Her new baby,,,,,,248|445|297|519,"Sahukars, Pooro in Pinjar|Shaikh, Javed in Pinjar|Shaikh, Rashida in Pinjar|Unknown, mad-woman's child in Pinjar",334,Rashida's home in Pinjar
526,37,39,1,The Hindus called a meeting to discuss the matter.,,Religion,,,,527,"Unkown, Hindus of Sakkar in Pinjar",355,Sakkar village in Pinjar
530,40,40,1,One day the Hindu elders of the village sent for Rashida.,,Interpersonal,,,,248|297|519|527,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Unknown, mad-woman's child in Pinjar|Unkown, Hindus of Sakkar in Pinjar",334,Rashida's home in Pinjar
533,40,40,2,A group of Hindu elders lay sprawling on charpoys laid out in a courtyard,,,,,,532|297|527,"Unknown, Muslim Friends in Pinjar|Shaikh, Rashida in Pinjar|Unkown, Hindus of Sakkar in Pinjar",355,Sakkar village in Pinjar
535,41,41,1,My wife has nourished him up with infinite care for six months,,Religion,,,,297|248|519,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar|Unknown, mad-woman's child in Pinjar",355,Sakkar village in Pinjar
536,42,42,1,The Hindu elders stood up to indicate that the argument was at an end,,Religion,,,,537|248|527|297|519,"Unknown, water-carrier's woman in Pinjar|Sahukars, Pooro in Pinjar|Unkown, Hindus of Sakkar in Pinjar|Shaikh, Rashida in Pinjar|Unknown, mad-woman's child in Pinjar",334,Rashida's home in Pinjar
538,42,43,2,The water-carrier’s wife took the foundling from Hamida’s arms,,Religion,Interpersonal,,,537|248,"Unknown, water-carrier's woman in Pinjar|Sahukars, Pooro in Pinjar",334,Rashida's home in Pinjar
539,43,43,1,the villages could talk of nothing but the fate of the foundling,,,,,,540|519,"Unknown, villages in Pinjar|Unknown, mad-woman's child in Pinjar",355,Sakkar village in Pinjar
541,43,43,2,Hamida beat her head against the wall and shed bitter tears,,,,,,248,"Sahukars, Pooro in Pinjar",334,Rashida's home in Pinjar
542,44,44,1,The next morning three men,,Religion,,,,297|543,"Shaikh, Rashida in Pinjar|Unknown, Three men in Pinjar",334,Rashida's home in Pinjar
544,45,45,1,A week later the villager saw the foundling,,Religion,,,,248|540,"Sahukars, Pooro in Pinjar|Unknown, villages in Pinjar",334,Rashida's home in Pinjar
545,45,45,2,Rahima’s old mother was gradually losing,,,,,,366|547,"Unknown, Rahima's Mother in Pinjar|Unknown, Rahima's mother two daughter-in-law in Pinjar",355,Sakkar village in Pinjar
548,45,45,3,One day Rahima’s mother came,,Interpersonal,,,,366|248,"Unknown, Rahima's Mother in Pinjar|Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
549,46,46,1,The name Rattoval pierced through,,,,,,248,"Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
550,46,46,2,Rashida did not object to his wife’s,,Interpersonal,,,,248|297|445|519|366|551,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Shaikh, Javed in Pinjar|Unknown, mad-woman's child in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, Old Servant of Rahima in Pinjar",355,Sakkar village in Pinjar
552,46,46,3,The servant and the child took,,,,,,553|248|366|551|519,"Unknown, Ekka driver in Pinjar|Sahukars, Pooro in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, Old Servant of Rahima in Pinjar|Unknown, mad-woman's child in Pinjar",355,Sakkar village in Pinjar
554,47,47,1,The sound of pipes and drums came to her ears and all at once the palanquin,,,,,,248,"Sahukars, Pooro in Pinjar",559,Rattoval in Pinjar
560,48,48,1,The servant arranged the baggage,,,,,,561|551|248|366,"Unknown, Holy One in Pinjar|Unknown, Old Servant of Rahima in Pinjar|Sahukars, Pooro in Pinjar|Unknown, Rahima's Mother in Pinjar",559,Rattoval in Pinjar
562,48,48,2,The Holy One told Rahima’s Mother that her treatment would take thirteen days,,Interpersonal,,,,248|551|366|519,"Sahukars, Pooro in Pinjar|Unknown, Old Servant of Rahima in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, mad-woman's child in Pinjar",559,Rattoval in Pinjar
563,49,49,1,She left the boy in the care of,,Interpersonal,,,,248|366|519,"Sahukars, Pooro in Pinjar|Unknown, Rahima's Mother in Pinjar|Unknown, mad-woman's child in Pinjar",559,Rattoval in Pinjar
564,49,49,2,Hamida could not hold back her tears,,Interpersonal,,,,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,Rattoval in Pinjar
565,49,49,3,Ram Chand looked worried and glanced,,,,,,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,Rattoval in Pinjar
611,50,50,1,The servant had come back from Sakkar,,,,,FALSE,551,"Unknown, Old Servant of Rahima in Pinjar",559,Rattoval in Pinjar
621,50,50,2,Hamida could not sleep that night,,,,,FALSE,248,"Sahukars, Pooro in Pinjar",559,Rattoval in Pinjar
627,50,50,3,Hamida rose from her charpoy,,,,,FALSE,248,"Sahukars, Pooro in Pinjar",559,Rattoval in Pinjar
631,50,50,4,Her palms were still on her eyes when,,,Religion,,FALSE,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,Rattoval in Pinjar
634,50,50,5,She withdrew her hands from,,,,,FALSE,282|248,"Chand, Ram in Pinjar|Sahukars, Pooro in Pinjar",559,Rattoval in Pinjar
636,50,50,6,She went away without turning to look back,,Interpersonal,,,FALSE,248|282,"Sahukars, Pooro in Pinjar|Chand, Ram in Pinjar",559,Rattoval in Pinjar
637,51,51,1,One evening Rashida came home with his face drawn,,,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,Sakkar village in Pinjar
638,51,51,2,"He fondled the little one, as he always did",,,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,Sakkar village in Pinjar
842,51,51,3,He spoke without her prompting,,,,,FALSE,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
843,51,51,4,Someone set fire to the stacks at night,,Interpersonal,,,FALSE,258,"Sahukars, Unknown 2 in Pinjar",355,Sakkar village in Pinjar
845,76,76,4,"All the same, early that morning, as usual",,,,,,628,"Congress Committee Member (part of singing group), The General in Tamas",612,Congress Committee Office in Tamas
846,52,52,1,"The children were fast asleep, but no sleep came",,,,,FALSE,248|297|445,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Shaikh, Javed in Pinjar",355,Sakkar village in Pinjar
847,52,52,2,He turned restlessly from one side to another,,,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,Sakkar village in Pinjar
848,52,52,3,Rashida continued to toss as restlessly as before,,,,,FALSE,297,"Shaikh, Rashida in Pinjar",355,Sakkar village in Pinjar
849,52,52,4,She got up and sat beside her husband,,,,,FALSE,297|248,"Shaikh, Rashida in Pinjar|Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
853,52,52,5,I am told that a young stranger came,,,,,FALSE,248,"Sahukars, Pooro in Pinjar",355,Sakkar village in Pinjar
855,76,76,5,Ranvir had not returned home the night before,,,,,,796,"Chairman's Son, Ranvir in Tamas",856,Ranvir's home in Tamas
857,52,52,6,The only other information Rashida gave her,,,,,FALSE,248|297|258,"Sahukars, Pooro in Pinjar|Shaikh, Rashida in Pinjar|Sahukars, Unknown 2 in Pinjar",355,Sakkar village in Pinjar
858,76,76,6,Master Dev Vrat had managed to send a message,,,,,,739|749,"Vrat, Master Dev, head of the akhara in Tamas|Lala Ji, Elderly Gentleman, one of the outsiders attending the Executive Committee meeting, Lakshmi Narayan in Tamas",211,THE CITY in Tamas
942,254,254,2,And Ghulam Ali attacked Nandi as she stood laughing,,,,,,909|344,"Ali, Ghulam in Sunlight on a Broken Column|Unknown, Nandi in Sunlight on a Broken Column",943,street in Sunlight on a Broken Column
944,255,255,1,the day of Uncle Hamid's election came at last,,,,,,321,"Hasan, Hamid in Sunlight on a Broken Column",1991,House in Sunlight on a Broken Column
972,35,35,1,Darkness was beginning to fade by the time,,,,,,816,"The singing group, Congress workers in Tamas",817,Imam Din Mohalla in Tamas
973,35,35,2,Holding his head high and lifting the tricolour,,,,,,816|974,"The singing group, Congress workers in Tamas|Group of children in the mohalla, Imam Din Mohalla children in Tamas",817,Imam Din Mohalla in Tamas
975,36,36,1,Mehta and Master Ram Das took the trays and went towards the courtyard,,,,,,816,"The singing group, Congress workers in Tamas",817,Imam Din Mohalla in Tamas
976,36,36,2,"Hey there, you—kind sir—what’s this crime you’re committing",,,,,,816,"The singing group, Congress workers in Tamas",817,Imam Din Mohalla in Tamas
977,37,37,1,Have you come to burden us with gratitude,,,Religion,,,816,"The singing group, Congress workers in Tamas",817,Imam Din Mohalla in Tamas
979,37,37,2,"‘I’m doing it! I’m doing the community work, aren’t I",,,,,,821|820,"Part of singing group, Shankar in Tamas|Congress Committee Member (part of singing group), Bakshi in Tamas",817,Imam Din Mohalla in Tamas
981,37,37,3,"Right at that moment, a man came running from the direction of the Committee Park",,,,,,983|816,"Man who ran from Committee Park, Man with black waistcoat in Tamas|The singing group, Congress workers in Tamas",817,Imam Din Mohalla in Tamas
986,38,38,1,"Please, gentlemen, get away from here. If you know what’s best for you, leave right away.",,Religion,,,,816|988,"The singing group, Congress workers in Tamas|Man who returns from mosque, Man who goes to mosque in Tamas",817,Imam Din Mohalla in Tamas
989,38,38,2,"Just then, a stone came flying through the air and fell near Bakhshi",,Religion,,,,816|820,"The singing group, Congress workers in Tamas|Congress Committee Member (part of singing group), Bakshi in Tamas",817,Imam Din Mohalla in Tamas
990,38,38,3,The Congress group set out quietly,,,,,,816,"The singing group, Congress workers in Tamas",817,Imam Din Mohalla in Tamas
991,39,39,1,When they turned into the gali of the Mohyals,,,,,,836|816,"Group encountered by Congress singing group, Mohyals in Tamas|The singing group, Congress workers in Tamas",838,Gali of the Mohyals in Tamas
992,39,39,2,Look at the steps leading up to the door of the mosque,,Religion,,,,816,"The singing group, Congress workers in Tamas",837,Kelon ka Masjid in Tamas
993,39,39,4,A Muslim passed quickly by on the street and the moment,,,,,,,,837,Kelon ka Masjid in Tamas
994,39,39,5,Let’s get that pig carcass out of here,,,Religion,,,820|816,"Congress Committee Member (part of singing group), Bakshi in Tamas|The singing group, Congress workers in Tamas",837,Kelon ka Masjid in Tamas
995,40,40,1,It was a black pig. Someone had covered it with a sack,,,,,,820|628,"Congress Committee Member (part of singing group), Bakshi in Tamas|Congress Committee Member (part of singing group), The General in Tamas",837,Kelon ka Masjid in Tamas
996,40,40,2,Then came the sound of running footsteps from the direction of the well,,,,,,997|816,"Man with turban, Man guiding cow in Tamas|The singing group, Congress workers in Tamas",837,Kelon ka Masjid in Tamas
1021,140,141,2,Some Congress workers were sitting on the platform,,,,,TRUE,626|625|618|954|620,"Congress Committee Member (part of singing group), Kashmiri Lal in Tamas|Head of the District Congress Committee, Shankar Lal in Tamas|Congress Committee secretary, Bakhshi in Tamas|Congress Committee Member, Jeet Singh in Tamas|Congress Committee Member (part of singing group), Master Ramdas in Tamas",137,Relief Committee Office in Tamas
1022,141,141,1,A group of ten or eleven men was joking,,,,,FALSE,1023,"Unknown group at relief committee, Unknown in Tamas",137,Relief Committee Office in Tamas
1024,141,142,2,Across the veranda to one side of the courtyard,,Religion|Caste,,,TRUE,1025|1026,"Chaprasi's Pandit, Unknown in Tamas|Chaprasi's Pandit's wife, Unknown in Tamas",632,Arya School in Tamas
1028,142,142,1,Allah Rakha had indeed taken Prakasho home,,Religion,,,TRUE,1030|1031,"Rakha, Allah in Tamas|Daughter of Chaprasi's Pandit, Prakasho in Tamas",1033,Bottom of hill in Tamas
1034,142,143,2,"Just then, Allah Rakha came in, and sitting down",,,Religion|Gender|Caste,,TRUE,1030|1031,"Rakha, Allah in Tamas|Daughter of Chaprasi's Pandit, Prakasho in Tamas",1035,Allah Rakha's home in Tamas
1090,13,13,1,"He slumped on the floor, his back resting against the wall",,,,,,185,"Servant to Murad Ali, Nathu in Tamas",604,Nathu's Hut in Tamas
1091,13,13,2,He had heard somewhere that if you want to kill a pig,,,,,,185,"Servant to Murad Ali, Nathu in Tamas",604,Nathu's Hut in Tamas
1092,13,14,3,Our Vet Sahib needs a dead pig for his work,,,,,,185|219,"Servant to Murad Ali, Nathu in Tamas|Committee Manager, Servant to Vet Sahib, Murad Ali in Tamas",604,Nathu's Hut in Tamas
1100,14,15,1,Getting the pig into the hut was hardly easy,,,,,,185,"Servant to Murad Ali, Nathu in Tamas",604,Nathu's Hut in Tamas
1102,15,16,1,What have I gotten myself into,,,,,,185,"Servant to Murad Ali, Nathu in Tamas",1106,Yard outside Nathu's Hut in Tamas
1107,16,17,1,He approached the hut with trepidation,,,,,,185,"Servant to Murad Ali, Nathu in Tamas",604,Nathu's Hut in Tamas
